number,team,player,speed,dash,shotpower,curlskill,balance,intelligence,jump,dribble,stamina
1,Argentina,Garcia,6,6,5,4,9,6,7,8,6
2,Argentina,Vasquez,9,7,7,6,9,7,9,8,8
3,Argentina,Costa,9,8,7,6,9,7,9,8,8
4,Argentina,Domingo,9,8,6,6,8,7,7,9,7
5,Argentina,Santos,9,8,6,8,8,8,6,9,8
6,Argentina,Alerto,8,8,6,7,9,8,8,9,8
7,Argentina,Fuerte,9,10,6,7,9,9,8,9,9
8,Argentina,Heretier,9,9,6,8,8,9,7,9,7
9,Argentina,Capitale,9,10,7,7,10,9,6,9,9
10,Argentina,Redonda,9,10,8,10,10,10,6,10,8
11,Argentina,Pena,9,9,7,9,9,8,6,9,9
12,Argentina,Pablo,7,8,7,5,9,6,8,7,7
13,Argentina,Basile,9,7,8,5,9,7,8,8,7
14,Argentina,Morelli,9,9,7,5,9,6,9,8,8
15,Argentina,Repala,8,9,6,7,9,8,7,9,7
16,Argentina,Hajo,9,9,7,8,8,7,7,9,8
17,Argentina,Leon,9,8,7,8,9,8,8,9,8
18,Argentina,Rivas,9,8,5,7,9,7,7,9,7
19,Argentina,Estrade,9,9,5,8,8,9,7,9,8
20,Argentina,Manzano,9,8,6,8,9,8,8,9,9
1,Austria,L.Denk,8,8,6,4,7,6,8,5,8
2,Austria,Waldner,7,5,7,5,8,6,6,7,7
3,Austria,H.Zacher,7,7,7,4,7,6,7,7,8
4,Austria,G.Hraska,6,6,6,5,7,7,7,5,7
5,Austria,E.Polts,6,7,7,5,7,6,8,6,8
6,Austria,Kreissle,8,7,6,7,7,7,6,7,8
7,Austria,D.Kerner,6,7,5,7,6,6,5,7,8
8,Austria,W.Wust,6,6,5,7,6,7,5,6,8
9,Austria,Plattner,7,7,7,8,7,7,5,6,9
10,Austria,Kohlmeir,6,6,6,7,6,8,6,6,7
11,Austria,G.Gangser,6,7,6,7,6,7,7,7,8
12,Austria,Dreisky,7,8,5,4,7,4,8,5,7
13,Austria,H.Henze,6,6,7,4,7,6,8,5,8
14,Austria,Schroth,8,5,7,6,7,6,7,6,7
15,Austria,J.Klotz,8,8,5,6,7,6,5,6,7
16,Austria,Suchanek,6,8,5,8,7,8,6,6,9
17,Austria,Ostmann,6,8,6,8,8,6,6,7,8
18,Austria,Rohleder,8,7,7,7,7,7,7,7,8
19,Austria,Jakob,7,8,7,7,6,8,5,7,9
20,Austria,Graf,7,6,7,8,6,6,5,7,7
1,Belgium,Van Riet,9,9,7,7,9,8,10,6,9
2,Belgium,Roche,7,5,8,4,7,5,7,5,6
3,Belgium,Pesant,6,4,7,5,5,5,7,4,6
4,Belgium,Bonneau,5,5,6,4,6,4,6,6,5
5,Belgium,Louis,6,5,6,4,7,5,6,5,6
6,Belgium,Pleters,7,7,6,7,7,8,6,8,7
7,Belgium,Ronde,7,8,6,7,7,8,7,7,7
8,Belgium,Gilmont,7,8,6,8,7,9,8,9,8
9,Belgium,Boursin,7,7,6,7,8,7,6,7,8
10,Belgium,Koster,9,9,7,9,7,9,8,9,9
11,Belgium,D'Emme,7,8,5,8,7,8,6,7,7
12,Belgium,Van Hert,7,8,5,7,8,8,9,8,9
13,Belgium,BoPart,6,5,6,5,6,4,7,4,5
14,Belgium,Davries,5,5,8,5,6,5,6,6,5
15,Belgium,Albert,9,8,6,9,7,8,6,9,7
16,Belgium,Dhooghe,7,8,6,9,7,9,7,9,7
17,Belgium,Ramelot,8,6,6,6,6,7,6,7,7
18,Belgium,Devrindt,8,7,6,8,7,7,6,7,7
19,Belgium,Thyssen,7,7,6,7,8,7,6,8,6
20,Belgium,Hachez,7,7,5,8,8,7,5,8,7
1,Brazil,da Silva,9,8,9,6,9,7,8,7,8
2,Brazil,Cicero,10,9,7,6,8,7,8,10,8
3,Brazil,Paco,9,8,8,6,9,9,10,9,9
